,price,airline_name,departure_city,arrival_city,travel_date,duration,stops,cabin_class,booking_date,days_until_travel,booking_type,travel_type
0,29384.18,Air India,Delhi,Mumbai,2024-12-25,130,Direct,Business,2024-12-16,9,Moderate,Holiday
1,29382.4,Air India,Delhi,Mumbai,2024-12-25,145,Direct,Business,2024-12-16,9,Moderate,Holiday
2,37417.3,Air India,Delhi,Mumbai,2024-12-25,125,Direct,Business,2024-12-16,9,Moderate,Holiday
3,29384.18,Air India,Delhi,Mumbai,2024-12-25,135,Direct,Business,2024-12-16,9,Moderate,Holiday
4,29382.4,Air India,Delhi,Mumbai,2024-12-25,145,Direct,Business,2024-12-16,9,Moderate,Holiday
5,29382.4,Air India,Delhi,Mumbai,2024-12-25,155,Direct,Business,2024-12-16,9,Moderate,Holiday
6,37423.53,Air India,Delhi,Mumbai,2024-12-25,130,Direct,Business,2024-12-16,9,Moderate,Holiday
7,37423.53,Air India,Delhi,Mumbai,2024-12-25,135,Direct,Business,2024-12-16,9,Moderate,Holiday
8,37405.72,Air India,Delhi,Mumbai,2024-12-25,140,Direct,Business,2024-12-16,9,Moderate,Holiday
9,37405.72,Air India,Delhi,Mumbai,2024-12-25,145,Direct,Business,2024-12-16,9,Moderate,Holiday
10,37405.72,Air India,Delhi,Mumbai,2024-12-25,150,Direct,Business,2024-12-16,9,Moderate,Holiday
11,42306.53,Air India,Delhi,Mumbai,2024-12-25,130,Direct,Business,2024-12-16,9,Moderate,Holiday
12,42306.53,Air India,Delhi,Mumbai,2024-12-25,135,Direct,Business,2024-12-16,9,Moderate,Holiday
13,54616.78,Air India,Delhi,Mumbai,2024-12-25,130,Direct,Business,2024-12-16,9,Moderate,Holiday
14,37385.24,Air India,Delhi,Mumbai,2024-12-25,225,Direct,Business,2024-12-16,9,Moderate,Holiday
15,54619.45,Air India,Delhi,Mumbai,2024-12-25,140,Direct,Business,2024-12-16,9,Moderate,Holiday
16,54619.45,Air India,Delhi,Mumbai,2024-12-25,145,Direct,Business,2024-12-16,9,Moderate,Holiday
17,30313.0,Air India,Delhi,Mumbai,2024-12-25,375,1 stop,Business,2024-12-16,9,Moderate,Holiday
18,37028.0,Air India,Delhi,Mumbai,2024-12-25,315,1 stop,Business,2024-12-16,9,Moderate,Holiday
19,47317.0,Air India,Delhi,Mumbai,2024-12-25,270,1 stop,Business,2024-12-16,9,Moderate,Holiday
20,7779.65,Air India,Delhi,Mumbai,2024-12-25,145,Direct,Economy,2024-12-16,9,Moderate,Holiday
