Brand,Color,Type,Size,Spinspeed,Rating,No_of_reviews,No_of_Ratings,Price
SAMSUNG,Grey,Fully Automatic Top Load,9.0,700.0,4.3,4479,57726,24990.0
Whirlpool,Grey,Fully Automatic Top Load,7.0,740.0,4.1,1230,16409,14990.0
MarQ,White,Semi Automatic Top Load,8.0,1350.0,4.1,3,58,5299.0
SAMSUNG,Grey,Fully Automatic Top Load,7.0,700.0,4.3,4479,57726,17690.0
LG,Silver,Semi Automatic Top Load,7.0,1350.0,4.5,2105,30365,11490.0
SAMSUNG,Silver,Fully Automatic Top Load,7.0,680.0,4.3,1119,15958,15790.0
Haier,Grey,Fully Automatic Top Load,5.0,800.0,4.3,2106,23856,12990.0
Whirlpool,Grey,Fully Automatic Top Load,6.0,740.0,4.2,1363,19093,13790.0
SAMSUNG,Grey,Fully Automatic Top Load,8.0,700.0,4.3,4479,57726,19790.0
Whirlpool,Grey,Semi Automatic Top Load,7.0,1400.0,4.4,1126,14515,9990.0
SAMSUNG,Grey,Fully Automatic Top Load,9.0,1400.0,4.4,1533,17279,42990.0
Whirlpool,Grey,Fully Automatic Top Load,8.0,740.0,4.2,20,151,31990.0
LG,Silver,Fully Automatic Top Load,7.0,700.0,4.3,4588,59155,17490.0
SAMSUNG,Black,Fully Automatic Front Load,9.0,1400.0,4.4,1533,17279,39990.0
LG,Silver,Fully Automatic Top Load,8.0,700.0,4.3,4588,59155,18990.0
realme,Black,Semi Automatic Top Load,7.0,700.0,4.2,5636,55939,7690.0
Whirlpool,Grey,Fully Automatic Top Load,7.0,740.0,4.0,13,187,26990.0
Whirlpool,Grey,Fully Automatic Top Load,5.0,740.0,4.2,1363,19093,16490.0
SAMSUNG,Grey,Semi Automatic Top Load,5.0,1300.0,4.4,681,9660,11790.0
MOTOROLA,Black,Semi Automatic Top Load,0.0,1350.0,4.2,99,1299,10990.0
Whirlpool,Grey,Fully Automatic Front Load,8.0,740.0,5.0,1,6,34990.0
Whirlpool,Grey,Fully Automatic Top Load,8.0,740.0,4.2,20,151,30990.0
Whirlpool,Grey,Fully Automatic Top Load,5.0,1400.0,4.4,1126,14515,12990.0
LG,Silver,Fully Automatic Front Load,7.0,1200.0,4.4,1672,19285,28990.0
MarQ,White,Semi Automatic Top Load,5.0,1350.0,4.3,4968,47406,12990.0
LG,Silver,Fully Automatic Front Load,5.0,1000.0,4.4,389,4674,24990.0
SAMSUNG,Grey,Fully Automatic Top Load,9.0,700.0,4.3,4479,57726,24990.0
MarQ,White,Semi Automatic Top Load,8.0,1350.0,4.1,3,58,5299.0
Whirlpool,Grey,Fully Automatic Top Load,7.0,740.0,4.1,1230,16409,14990.0
SAMSUNG,Grey,Fully Automatic Front Load,7.0,1200.0,4.4,1533,17279,31490.0
Whirlpool,Grey,Fully Automatic Top Load,6.0,740.0,4.2,1363,19093,13790.0
SAMSUNG,Grey,Fully Automatic Top Load,9.0,1400.0,4.4,1533,17279,42990.0
Voltas,White,Semi Automatic Top Load,8.0,1350.0,4.3,371,4615,18990.0
Whirlpool,Grey,Fully Automatic Top Load,9.0,1400.0,4.4,1126,14515,13990.0
Whirlpool,Grey,Fully Automatic Top Load,8.0,1400.0,4.4,1126,14515,12490.0
Godrej,Grey,Fully Automatic Top Load,7.0,1400.0,4.2,192,2436,13990.0
Whirlpool,Grey,Fully Automatic Top Load,8.0,740.0,4.2,20,151,31990.0
SAMSUNG,Black,Fully Automatic Front Load,9.0,1400.0,4.4,1533,17279,39990.0
realme,Grey,Semi Automatic Top Load,5.0,700.0,4.2,5636,55939,9390.0
Thomson,Black,Semi Automatic Top Load,5.0,1120.0,4.0,1023,10907,7990.0
Whirlpool,Grey,Fully Automatic Top Load,7.0,740.0,4.0,13,187,26990.0
Whirlpool,Grey,Fully Automatic Top Load,5.0,740.0,4.2,1363,19093,16490.0
Haier,Grey,Fully Automatic Front Load,8.0,1200.0,4.3,38,330,33990.0
SAMSUNG,Grey,Semi Automatic Top Load,5.0,1300.0,4.3,2363,32304,14190.0
IFB,Grey,Fully Automatic Front Load,7.0,720.0,4.3,1538,18564,18690.0
IFB,Grey,Fully Automatic Front Load,7.0,1000.0,4.3,8031,77392,25990.0
Whirlpool,Grey,Fully Automatic Front Load,8.0,740.0,5.0,1,6,34990.0
Whirlpool,Grey,Fully Automatic Top Load,8.0,740.0,4.2,20,151,30990.0
Whirlpool,Grey,Fully Automatic Top Load,8.0,740.0,4.1,1230,16409,18990.0
Voltas,Grey,Fully Automatic Top Load,5.0,700.0,4.0,20,254,12990.0
SAMSUNG,Grey,Fully Automatic Top Load,9.0,700.0,4.3,4479,57726,24990.0
Whirlpool,Grey,Fully Automatic Top Load,7.0,740.0,4.1,1230,16409,14990.0
MarQ,White,Semi Automatic Top Load,0.0,1350.0,4.3,4968,47406,10190.0
Voltas,Blue,Semi Automatic Top Load,5.0,0.0,4.0,0,4,5300.0
MarQ,White,Semi Automatic Top Load,5.0,1350.0,4.3,2380,21723,6890.0
Haier,Multicolor,Semi Automatic Top Load,8.0,1300.0,4.3,76,1343,19000.0
MarQ,White,Semi Automatic Top Load,8.0,1350.0,4.1,3,58,5299.0
Whirlpool,Grey,Fully Automatic Top Load,6.0,740.0,4.2,1363,19093,13790.0
LG,Silver,Fully Automatic Front Load,8.0,1400.0,4.4,1672,19285,34990.0
Intex,Grey,Fully Automatic Front Load,7.0,1300.0,4.3,2355,16202,7190.0
SAMSUNG,Grey,Fully Automatic Top Load,9.0,1400.0,4.4,1533,17279,42990.0
Whirlpool,Grey,Fully Automatic Top Load,8.0,740.0,4.2,20,151,31990.0
Voltas,White,Semi Automatic Top Load,6.0,1350.0,4.3,371,4615,7590.0
MOTOROLA,Black,Semi Automatic Top Load,7.0,1000.0,4.1,55,443,19990.0
Godrej,White,Semi Automatic Top Load,5.0,1440.0,4.3,146,2219,10490.0
Admiral,Grey,Fully Automatic Top Load,6.0,600.0,3.7,1,3,10999.0
SAMSUNG,Black,Fully Automatic Front Load,9.0,1400.0,4.4,1533,17279,39990.0
Whirlpool,Grey,Fully Automatic Top Load,7.0,740.0,4.0,13,187,26990.0
LG,Silver,Fully Automatic Front Load,9.0,1200.0,4.4,1672,19285,39990.0
SAMSUNG,Purple,Semi Automatic Top Load,7.0,1350.0,4.3,2363,32304,11290.0
Whirlpool,Grey,Fully Automatic Top Load,5.0,740.0,4.2,1363,19093,16490.0
Whirlpool,Grey,Fully Automatic Front Load,8.0,740.0,5.0,1,6,34990.0
realme,Black,Semi Automatic Top Load,8.0,700.0,4.2,5636,55939,11390.0
SAMSUNG,Grey,Fully Automatic Front Load,7.0,1200.0,4.1,1,16,33499.0
Whirlpool,Grey,Fully Automatic Top Load,8.0,740.0,4.2,20,151,31990.0
Godrej,White,Semi Automatic Top Load,7.0,1440.0,4.3,146,2219,9990.0
SAMSUNG,Grey,Fully Automatic Top Load,9.0,700.0,4.3,4479,57726,24990.0
Whirlpool,Grey,Fully Automatic Top Load,7.0,740.0,4.1,1230,16409,14990.0
Godrej,White,Semi Automatic Top Load,8.0,1440.0,4.3,146,2219,11799.0
BOSCH,Grey,Fully Automatic Front Load,7.0,1000.0,4.4,834,9340,30999.0
MarQ,White,Semi Automatic Top Load,8.0,1350.0,4.1,3,58,5299.0
Whirlpool,Grey,Fully Automatic Top Load,6.0,740.0,4.2,1363,19093,13790.0
Panasonic,Grey,Fully Automatic Top Load,8.0,702.0,4.3,1073,10582,19990.0
LG,Silver,Fully Automatic Top Load,5.0,700.0,4.3,4588,59155,18490.0
Whirlpool,Grey,Fully Automatic Top Load,5.0,1400.0,4.4,1126,14515,10990.0
IFB,Grey,Fully Automatic Front Load,0.0,1400.0,4.3,47,377,46990.0
SAMSUNG,Grey,Fully Automatic Top Load,9.0,1400.0,4.4,1533,17279,42990.0
SAMSUNG,Black,Fully Automatic Front Load,9.0,1400.0,4.4,1533,17279,39990.0
IFB,Grey,Fully Automatic Front Load,5.0,720.0,4.4,4,61,19490.0
LG,Silver,Fully Automatic Front Load,1.0,1300.0,4.5,338,4245,18990.0
Whirlpool,Grey,Fully Automatic Top Load,7.0,740.0,4.0,13,187,26990.0
Whirlpool,Grey,Fully Automatic Top Load,5.0,740.0,4.2,1363,19093,16490.0
Panasonic,Grey,Fully Automatic Top Load,6.0,680.0,4.3,1073,10582,13890.0
IFB,Grey,Fully Automatic Front Load,8.0,1200.0,4.3,270,3213,33490.0
ONIDA,Grey,Semi Automatic Top Load,8.0,1450.0,4.2,939,10314,9890.0
LG,Silver,Fully Automatic Front Load,9.0,1400.0,4.4,1672,19285,37990.0
SAMSUNG,Grey,Fully Automatic Top Load,9.0,700.0,4.3,4479,57726,24990.0
